353-54-8	25	3.76E+04
558-13-4	30	7.67E+04
506-77-4	25	1.11E+02
1943-16-4	20	4.68E+03
75-44-5	25	8.00E+02
75-69-4	25	6.93E+03
76-06-2	25	5.62E+03
56-23-5	25	1.05E+04
75-27-4	30	3.00E+03
124-48-1	30	1.10E+04
75-25-2	25	4.47E+03
75-43-4	25	5.97E+02
67-66-3	25	8.49E+02
75-47-8	25	2.19E+05
74-90-8	62	5.07E+00
74-97-5	25	4.73E+02
74-95-3	25	8.31E+02
75-09-2	25	3.57E+02
75-11-6	25	1.20E+04
64-18-6	100	7.90E-01
74-83-9	25	3.89E+02
1455-13-6	25	1.90E+00
74-88-4	25	5.62E+02
75-52-5	25	3.42E+01
4418-61-5	18	3.95E+02
556-88-7	25	1.31E+03
67-56-1	25	1.60E+00
74-93-1	25	1.13E+02
124-58-3	20	3.91E+01
18264-75-0	20.96	2.46E+03
75-15-0	25	2.25E+03
76-14-2	25	6.84E+04
76-13-1	25	6.61E+04
545-06-2	25	6.72E+03
127-18-4	25	4.35E+04
76-12-0	27	7.16E+04
67-72-1	25	2.63E+05
151-67-7	24	2.68E+03
306-83-2	25	4.04E+03
79-01-6	25	6.62E+03
76-01-7	25	2.25E+04
541-25-3	20	2.30E+04
79-27-6	25	2.83E+04
107-14-2	25	6.72E+01
75-35-4	25	2.30E+03
156-59-2	25	8.40E+02
156-60-5	25	1.19E+03
25323-30-2	25	8.40E+02
540-59-0	25	8.40E+02
1649-08-7	24	1.52E+03
630-20-6	25	8.70E+03
79-34-5	25	3.31E+03
590-26-1	25	3.35E+04
590-27-2	25	1.05E+05
144-62-7	20	5.62E+01
75-80-9	40	4.61E+02
1717-00-6	25	9.83E+03
594-72-9	20	1.61E+03
71-55-6	25	5.72E+03
79-00-5	25	1.61E+03
144-49-0	20	8.66E+04
75-05-8	50	1.28E+01
556-61-6	20	5.39E+02
107-04-0	25	1.15E+03
557-91-5	25	1.44E+03
106-93-4	25	2.65E+03
762-50-5	25	1.84E+02
79-07-2	24	5.87E+01
598-92-5	20	1.53E+03
75-34-3	25	1.10E+03
107-06-2	25	6.36E+02
471-46-5	7.3	1.32E+04
461-58-5	25	1.15E+02
14949-00-9	15	2.11E+03
75-07-0	24.77	4.52E+00
75-21-8	25	7.64E+00
64-19-7	22	3.41E+00
107-31-3	25	1.22E+01
420-12-2	25	1.16E+02
74-96-4	25	6.67E+02
75-00-3	20	6.28E+02
107-07-3	78.5	7.19E+00
75-03-6	25	2.16E+03
123-39-7	147	1.88E+01
79-24-3	25	7.99E+01
