16747-28-7	179.9263306	15.39939823	0	1	0	0
14850-22-7	155.7503107	15.45466895	0.558362535	1	0.159016067	0.603982718
4032-86-4	179.9263306	15.39962953	0	1	0	0
16789-46-1	179.9263306	15.40356154	0	1	0	0
96-14-0	130.1407793	14.94327354	0	1	0	0
7642-04-8	155.6115556	15.48509895	0.533542203	1	0.153127699	0.58503871
7154-79-2	179.9263306	15.41050042	0	1	0	0
921-47-1	179.9263306	15.41096301	0	1	0	0
822-50-4	130.5620306	15.49500192	0.67441107	1	0	0
3074-76-8	179.9263306	15.41281336	0	1	0	0
16747-31-2	179.9263306	15.41304465	0	1	0	0
627-20-3	105.8260042	14.88003778	0.536511759	1	0.110865092	0.337408203
3074-77-9	179.9263306	15.41512631	0	1	0	0
16747-38-9	179.9263306	15.41743927	0	1	0	0
646-04-8	105.9647594	14.84253483	0.56373881	1	0.115414781	0.349612274
3074-71-3	179.9263306	15.4209087	0	1	0	0
922-28-1	179.9263306	15.42322164	0	1	0	0
2216-32-2	179.9263306	15.4253033	0	1	0	0
10574-37-5	138.7847963	15.33066195	0.812338564	1	0	1.132573586
2216-34-4	179.9263306	15.42923532	0	1	0	0
107-83-5	130.1407793	14.91833088	0	1	0	0
3221-61-2	179.9263306	15.4303918	0	1	0	0
16747-33-4	179.9263306	15.43131698	0	1	0	0
79-29-8	130.1407793	14.91577265	0	1	0	0
1638-26-2	130.2845203	15.49771963	0.706544485	1	0	0
513-35-9	105.5484939	14.94009521	0.503131147	1	0.111315254	0.349317361
15869-80-4	179.9263306	15.43640547	0	1	0	0
3404-73-7	139.8101433	15.10167543	0.345819504	0.969689462	0.238622453	1.212630834
2216-33-3	179.9263306	15.43779326	0	1	0	0
1632-16-2	155.6115556	15.43334549	0.518870539	0.989735557	0.201714562	0.736984213
107-39-1	156.3800004	15.27486748	0.462315842	0.976100688	0.247873112	0.86499655
7385-78-6	139.6443577	15.12386778	0.540631018	0.975045293	0.228000646	1.31258382
14720-74-2	196.5215144	15.46757093	0	1	0	0
2207-04-7	147.1572144	15.59101826	0.709389351	1	0	0
29841-08-5	139.1534232	15.21225605	0.566880653	0.97607943	0.2220967	1.29633032
638-04-0	147.0184593	15.60659247	0.70542273	1	0	0
2401-73-2	191.619586	15.25042949	0.431587889	1	0	0
1640-89-7	130.00701	15.69623469	0.487270352	1	0	0
591-21-9	147.1572144	15.64668455	0.638107115	1	0	0
111-84-2	179.9263306	15.48035158	0	1	0	0
16747-50-5	146.8797041	15.6622687	0.650083964	1	0	0
15869-87-1	196.5215144	15.49425315	0	1	0	0
108-87-2	129.8682549	15.71613335	0.47956739	1	0	0
26232-98-4	139.6279102	15.12532098	0.526916528	0.97307349	0.228627162	1.447507219
1192-18-3	129.7294997	15.70984768	0.505788104	1	0	0
15869-95-1	196.5215144	15.49658255	0	1	0	0
75-83-2	130.1407793	14.87004445	0	1	0	0
7154-80-5	196.5215144	15.50039429	0	1	0	0
503-29-7	64.61961504	14.37974151	7.743841532	1	7.572855418	10.64883382
52896-88-5	196.5215144	15.50102959	0	1	0	0
15869-93-9	196.5215144	15.50145312	0	1	0	0
563-46-2	106.0288454	14.77447685	0.738069187	1	0.147195724	0.452297465
79-06-1	65.57000109	13.34245252	10.62793352	1	16.7891173	12.19461312
563-83-7	89.29832304	13.63674409	8.803422774	1	12.19610459	11.90575502
1072-16-8	196.5215144	15.50632368	0	1	0	0
762-62-9	140.2740473	14.98707118	0.482817342	0.964498466	0.262608722	1.406797044
2051-30-1	196.5215144	15.5109825	0	1	0	0
4110-44-5	196.5215144	15.51161777	0	1	0	0
